Scenario,Year,Crop demand,Energy crop demand,Livestock demand,Energy crop production,Non-energy crop production
SSP1 - 1.9,2005,3389946625,0,238986475.6,31469668.7,3417340000
SSP1 - 2.6,2005,3389946625,0,238986475.6,31469668.7,3417340000
SSP1 - 3.4,2005,3389946625,0,238986475.6,31469668.7,3417340000
SSP1 - 4.5,2005,3389946625,0,238986475.6,31469668.7,3417340000
SSP1 - Baseline,2005,3389946625,0,238986475.6,31469668.7,3417340000
SSP2 - 1.9,2005,2562601266,0,216129997,0,2734478368
SSP2 - 2.6,2005,2562601266,0,216129997,0,2734478368
SSP2 - 3.4,2005,2562601266,0,216129997,0,2734478368
SSP2 - 4.5,2005,2562601266,0,216129997,0,2734478368
SSP2 - 6.0,2005,2562601266,0,216129997,0,2734478368
SSP2 - Baseline,2005,2562601266,0,216129997,0,2734478368
SSP3 - 3.4,2005,2274624100,0,246084000,0,3254988500
SSP3 - 4.5,2005,2274624100,0,246084000,0,3254988500
SSP3 - 6.0,2005,2274624100,0,246084000,0,3254988500
SSP3 - Baseline,2005,2274624100,0,246084000,0,3254988500
SSP4 - 2.6,2005,0,0,0,0,0
SSP4 - 3.4,2005,0,0,0,0,0
SSP4 - 4.5,2005,0,0,0,0,0
SSP4 - 6.0,2005,0,0,0,0,0
SSP4 - Baseline,2005,0,0,0,0,3097622458
SSP5 - 1.9,2005,0,25325500,205757600,25325500,3327675000
SSP5 - 2.6,2005,0,25325500,205757500,25325500,3327677400
SSP5 - 3.4,2005,0,25325500,205757500,25325500,3327677400
SSP5 - 4.5,2005,0,25325500,205757500,25325500,3327677400
SSP5 - 6.0,2005,0,25325500,205757500,25325500,3327677400
SSP5 - Baseline,2005,0,25325500,205757600,25325500,3327675000
SSP1 - 1.9,2010,3780159000,0,26.244.074.710.000.000,56.039.029.300.000.000,3813367000
SSP1 - 2.6,2010,3780159000,0,26.244.074.710.000.000,56.039.029.300.000.000,3813367000
SSP1 - 3.4,2010,3780159000,0,26.244.074.710.000.000,56.039.029.300.000.000,3813367000
SSP1 - 4.5,2010,3780159000,0,26.244.074.710.000.000,56.039.029.300.000.000,3813367000
SSP1 - Baseline,2010,3780159000,0,26.244.074.710.000.000,56.039.029.300.000.000,3813367000
SSP2 - 1.9,2010,2743381807,0,233117496.4,0,3032884054
